,time,volume,open,close,high,low
0,2022-03-21 13:00:00+00:00,1,5.05,5.05,5.05,5.05
1,2022-03-21 13:01:00+00:00,517,5.04,5.04,5.04,5.04
2,2022-03-21 13:02:00+00:00,6,5.04,5.04,5.04,5.04
3,2022-03-21 13:03:00+00:00,133,5.04,5.04,5.04,5.04
4,2022-03-21 13:04:00+00:00,53,5.05,5.14,5.14,5.05
5,2022-03-21 13:05:00+00:00,752,5.14,5.18,5.18,5.07
6,2022-03-21 13:06:00+00:00,284,5.08,5.18,5.18,5.06
7,2022-03-21 13:07:00+00:00,55,5.08,5.1,5.1,5.08
8,2022-03-21 13:08:00+00:00,43,5.14,5.15,5.15,5.14
9,2022-03-21 13:09:00+00:00,17,5.1,5.1,5.15,5.1
10,2022-03-21 13:10:00+00:00,241,5.14,5.07,5.14,5.07
11,2022-03-21 13:12:00+00:00,5,5.06,5.06,5.06,5.06
12,2022-03-21 13:13:00+00:00,20,5.07,5.09,5.09,5.06
13,2022-03-21 13:15:00+00:00,1,5.09,5.09,5.09,5.09
14,2022-03-21 13:16:00+00:00,39,5.09,5.09,5.09,5.09
15,2022-03-21 13:17:00+00:00,7,5.09,5.09,5.09,5.09
16,2022-03-21 13:18:00+00:00,6,5.09,5.1,5.1,5.09
17,2022-03-21 13:19:00+00:00,19,5.1,5.1,5.1,5.1
18,2022-03-21 13:20:00+00:00,8,5.1,5.1,5.1,5.1
19,2022-03-21 13:23:00+00:00,20,5.11,5.11,5.11,5.11
20,2022-03-21 13:24:00+00:00,1,5.11,5.11,5.11,5.11
21,2022-03-21 13:25:00+00:00,277,5.1,5.1,5.11,5.1
22,2022-03-21 13:26:00+00:00,6,5.1,5.11,5.11,5.1
23,2022-03-21 13:27:00+00:00,423,4.92,5.1,5.1,4.92
24,2022-03-21 13:28:00+00:00,24,5.1,5.1,5.1,5.1
25,2022-03-21 13:29:00+00:00,102,5.1,5.11,5.11,5.1
26,2022-03-21 13:30:00+00:00,19000,5.0,5.03,5.1,4.99
27,2022-03-21 13:31:00+00:00,3198,5.04,4.96,5.04,4.93
28,2022-03-21 13:32:00+00:00,316,4.95,4.97,4.99,4.93
29,2022-03-21 13:33:00+00:00,4036,4.9399999999999995,4.95,4.97,4.93
30,2022-03-21 13:34:00+00:00,1001,4.95,4.9,4.95,4.9
31,2022-03-21 13:35:00+00:00,1144,4.93,4.86,4.93,4.86
32,2022-03-21 13:36:00+00:00,2170,4.86,4.88,4.89,4.86
33,2022-03-21 13:37:00+00:00,3520,4.88,4.87,4.89,4.86
34,2022-03-21 13:38:00+00:00,1991,4.86,4.91,4.91,4.86
35,2022-03-21 13:39:00+00:00,4473,4.92,4.95,4.96,4.92
36,2022-03-21 13:40:00+00:00,422,4.96,4.97,4.97,4.95
37,2022-03-21 13:41:00+00:00,1004,4.96,4.97,4.97,4.96
38,2022-03-21 13:42:00+00:00,202,4.96,4.97,4.97,4.96
39,2022-03-21 13:43:00+00:00,616,4.97,4.99,4.99,4.97
40,2022-03-21 13:44:00+00:00,2427,4.98,4.95,4.98,4.95
41,2022-03-21 13:45:00+00:00,2130,4.96,4.99,4.99,4.96
42,2022-03-21 13:46:00+00:00,1429,4.98,4.98,4.98,4.97
43,2022-03-21 13:47:00+00:00,1306,4.97,4.95,4.97,4.95
44,2022-03-21 13:48:00+00:00,1072,4.95,4.97,4.97,4.9399999999999995
45,2022-03-21 13:49:00+00:00,1653,4.97,4.99,4.99,4.97
46,2022-03-21 13:50:00+00:00,2542,4.99,5.01,5.01,4.99
47,2022-03-21 13:51:00+00:00,2003,5.0,4.99,5.0,4.98
48,2022-03-21 13:52:00+00:00,1619,4.99,4.99,5.0,4.99
49,2022-03-21 13:53:00+00:00,1937,4.99,4.98,4.99,4.98
50,2022-03-21 13:54:00+00:00,3166,4.98,4.98,4.99,4.98
51,2022-03-21 13:55:00+00:00,554,4.98,4.98,4.98,4.97
52,2022-03-21 13:56:00+00:00,880,4.98,4.99,4.99,4.98
53,2022-03-21 13:57:00+00:00,572,4.99,4.98,4.99,4.98
54,2022-03-21 13:58:00+00:00,160,4.97,4.96,4.97,4.96
55,2022-03-21 14:00:00+00:00,2135,4.96,4.96,4.96,4.96
56,2022-03-21 14:01:00+00:00,204,4.97,4.99,4.99,4.97
57,2022-03-21 14:02:00+00:00,1544,4.99,5.02,5.02,4.99
58,2022-03-21 14:03:00+00:00,1070,5.03,5.02,5.04,5.02
59,2022-03-21 14:06:00+00:00,2283,5.03,5.08,5.08,5.03
60,2022-03-21 14:07:00+00:00,1057,5.08,5.1,5.1,5.08
61,2022-03-21 14:08:00+00:00,3036,5.1,5.12,5.14,5.09
62,2022-03-21 14:09:00+00:00,3614,5.11,5.1,5.11,5.09
63,2022-03-21 14:10:00+00:00,1465,5.1,5.1,5.1,5.09
64,2022-03-21 14:11:00+00:00,1106,5.1,5.11,5.11,5.1
65,2022-03-21 14:12:00+00:00,1534,5.11,5.15,5.15,5.11
66,2022-03-21 14:13:00+00:00,112,5.16,5.16,5.16,5.16
67,2022-03-21 14:14:00+00:00,1928,5.16,5.14,5.16,5.14
68,2022-03-21 14:15:00+00:00,556,5.14,5.14,5.14,5.14
69,2022-03-21 14:16:00+00:00,2492,5.14,5.16,5.16,5.13
70,2022-03-21 14:17:00+00:00,1330,5.15,5.16,5.16,5.15
71,2022-03-21 14:18:00+00:00,764,5.16,5.16,5.16,5.15
72,2022-03-21 14:19:00+00:00,30,5.15,5.15,5.15,5.15
73,2022-03-21 14:20:00+00:00,275,5.15,5.15,5.15,5.15
74,2022-03-21 14:21:00+00:00,501,5.15,5.16,5.16,5.15
75,2022-03-21 14:22:00+00:00,4283,5.16,5.17,5.17,5.16
76,2022-03-21 14:23:00+00:00,1157,5.16,5.15,5.16,5.15
77,2022-03-21 14:24:00+00:00,609,5.15,5.16,5.16,5.15
78,2022-03-21 14:25:00+00:00,108,5.16,5.16,5.16,5.16
79,2022-03-21 14:26:00+00:00,1023,5.17,5.15,5.17,5.15
80,2022-03-21 14:29:00+00:00,1436,5.16,5.17,5.17,5.15
81,2022-03-21 14:30:00+00:00,2165,5.16,5.19,5.19,5.16
82,2022-03-21 14:31:00+00:00,1744,5.18,5.17,5.18,5.17
83,2022-03-21 14:32:00+00:00,4315,5.18,5.2,5.2,5.18
84,2022-03-21 14:33:00+00:00,1749,5.2,5.22,5.22,5.2
85,2022-03-21 14:34:00+00:00,270,5.23,5.22,5.23,5.22
86,2022-03-21 14:35:00+00:00,405,5.23,5.23,5.23,5.22
87,2022-03-21 14:36:00+00:00,3096,5.23,5.2,5.24,5.19
88,2022-03-21 14:37:00+00:00,755,5.2,5.21,5.22,5.2
89,2022-03-21 14:38:00+00:00,1,5.21,5.21,5.21,5.21
90,2022-03-21 14:39:00+00:00,2745,5.21,5.24,5.24,5.21
91,2022-03-21 14:40:00+00:00,8217,5.24,5.25,5.25,5.24
92,2022-03-21 14:41:00+00:00,365,5.26,5.25,5.26,5.25
93,2022-03-21 14:42:00+00:00,2889,5.25,5.26,5.26,5.25
94,2022-03-21 14:43:00+00:00,153,5.26,5.27,5.27,5.26
95,2022-03-21 14:44:00+00:00,1808,5.26,5.25,5.26,5.25
96,2022-03-21 14:45:00+00:00,839,5.26,5.28,5.28,5.26
97,2022-03-21 14:46:00+00:00,82,5.28,5.27,5.28,5.27
98,2022-03-21 14:47:00+00:00,449,5.28,5.27,5.28,5.27
99,2022-03-21 14:48:00+00:00,2476,5.27,5.27,5.27,5.27
100,2022-03-21 14:49:00+00:00,443,5.28,5.29,5.29,5.28
101,2022-03-21 14:50:00+00:00,412,5.28,5.27,5.28,5.27
102,2022-03-21 14:51:00+00:00,3091,5.27,5.27,5.27,5.27
103,2022-03-21 14:52:00+00:00,3968,5.27,5.29,5.29,5.27
104,2022-03-21 14:53:00+00:00,59,5.29,5.29,5.3,5.29
105,2022-03-21 14:54:00+00:00,6,5.3,5.29,5.3,5.29
106,2022-03-21 14:55:00+00:00,6071,5.3,5.31,5.32,5.3
107,2022-03-21 14:56:00+00:00,56,5.31,5.32,5.32,5.31
108,2022-03-21 14:57:00+00:00,423,5.32,5.32,5.32,5.31
109,2022-03-21 14:58:00+00:00,33,5.32,5.33,5.33,5.32
110,2022-03-21 14:59:00+00:00,2758,5.33,5.33,5.34,5.33
111,2022-03-21 15:00:00+00:00,1632,5.33,5.29,5.33,5.29
112,2022-03-21 15:01:00+00:00,1293,5.29,5.29,5.3,5.29
113,2022-03-21 15:02:00+00:00,39,5.29,5.29,5.29,5.29
114,2022-03-21 15:03:00+00:00,3859,5.29,5.31,5.31,5.29
115,2022-03-21 15:04:00+00:00,570,5.31,5.31,5.31,5.31
116,2022-03-21 15:05:00+00:00,1347,5.3,5.32,5.33,5.3
117,2022-03-21 15:06:00+00:00,152,5.32,5.31,5.33,5.31
118,2022-03-21 15:07:00+00:00,1382,5.31,5.3,5.31,5.29
119,2022-03-21 15:08:00+00:00,1062,5.29,5.29,5.29,5.28
120,2022-03-21 15:09:00+00:00,12,5.29,5.3,5.3,5.29
121,2022-03-21 15:10:00+00:00,104,5.3,5.3,5.3,5.3
122,2022-03-21 15:11:00+00:00,12,5.29,5.29,5.29,5.29
123,2022-03-21 15:12:00+00:00,6718,5.3,5.29,5.31,5.29
124,2022-03-21 15:13:00+00:00,940,5.28,5.29,5.29,5.28
125,2022-03-21 15:15:00+00:00,2444,5.29,5.34,5.34,5.29
126,2022-03-21 15:16:00+00:00,1493,5.35,5.35,5.36,5.35
127,2022-03-21 15:17:00+00:00,60,5.36,5.35,5.36,5.35
128,2022-03-21 15:18:00+00:00,2993,5.36,5.38,5.38,5.36
129,2022-03-21 15:19:00+00:00,3951,5.38,5.39,5.42,5.38
130,2022-03-21 15:20:00+00:00,1836,5.4,5.37,5.4,5.37
131,2022-03-21 15:22:00+00:00,3380,5.37,5.37,5.38,5.36
132,2022-03-21 15:23:00+00:00,3496,5.37,5.41,5.41,5.37
133,2022-03-21 15:24:00+00:00,308,5.41,5.42,5.42,5.41
134,2022-03-21 15:25:00+00:00,6896,5.41,5.45,5.46,5.41
135,2022-03-21 15:26:00+00:00,1710,5.45,5.46,5.46,5.45
136,2022-03-21 15:27:00+00:00,702,5.46,5.45,5.46,5.45
137,2022-03-21 15:28:00+00:00,84,5.46,5.45,5.46,5.45
138,2022-03-21 15:29:00+00:00,2313,5.45,5.45,5.45,5.45
139,2022-03-21 15:30:00+00:00,2316,5.44,5.4,5.44,5.4
140,2022-03-21 15:31:00+00:00,2984,5.41,5.43,5.43,5.41
141,2022-03-21 15:32:00+00:00,104,5.43,5.43,5.43,5.43
142,2022-03-21 15:33:00+00:00,1349,5.43,5.44,5.45,5.43
143,2022-03-21 15:34:00+00:00,4169,5.45,5.47,5.48,5.45
144,2022-03-21 15:35:00+00:00,1253,5.47,5.48,5.48,5.47
145,2022-03-21 15:36:00+00:00,2026,5.48,5.48,5.48,5.47
146,2022-03-21 15:37:00+00:00,3703,5.49,5.49,5.5,5.48
147,2022-03-21 15:38:00+00:00,2057,5.49,5.49,5.5,5.48
148,2022-03-21 15:39:00+00:00,1287,5.49,5.5,5.5,5.48
149,2022-03-21 15:40:00+00:00,759,5.5,5.5,5.5,5.48
150,2022-03-21 15:41:00+00:00,640,5.5,5.48,5.5,5.48
151,2022-03-21 15:42:00+00:00,2227,5.48,5.46,5.48,5.46
152,2022-03-21 15:43:00+00:00,3947,5.46,5.5,5.5,5.46
153,2022-03-21 15:44:00+00:00,825,5.5,5.5,5.52,5.5
154,2022-03-21 15:45:00+00:00,1585,5.51,5.52,5.52,5.51
155,2022-03-21 15:46:00+00:00,2203,5.51,5.5,5.52,5.5
